,descricao_do_imovel,bairro,cidade,estado,link_da_imagem,preco,suites,banheiros,m2
0,Apartamento Aconchegante e Moderno no Bairro Pioneiros em Balneário Camboriú,Pioneiros, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b50d4ec9f9c76f72a7b1a3_Untitled%20design%20(57).png,2750000.0,3,4,131
1,Apartamento com 4 suítes no Condomínio Ibiza Towers na Barra Sul - Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b5136350a0c93f0e6c12c3_Untitled%20design%20(72).png,9000000.0,4,4,490
2,Apartamento Mobiliado em Balneário Camboriú , Rua 2350, 118. Centro ,Balneário Camboriú,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/6385044273208e5f112e5b5d_17.jpg,1150000.0,2,3,123
3,"Apartamento no Diamond Crystal Tower, Centro de Balneário Camboriú",Rua 1201, 432. Centro , Balneário Camboriú,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/637643830d31676f4005d42a_05-EXTERNA-APROXIMADA.jpg,2989188.0,4,3,173
4,"Cobertura Duplex no Edifício Evely, Centro de BC",Rua 1950, 216 , Centro ,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/634cc0024fa4348dad5ff87d_20.jpeg,4879476.0,4,3,240
5,"Apartamento com Vista em B.Camboriú, no Timeless Arrka at Alvin",Avenida Alvin Bauer, 159 , Centro ,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62aa5b38887b93bbc8153205_26.jpg,3857000.0,4,4,181
6,Apartamento com vista panorâmica e 3 suítes na Praia Brava,Praia Brava, Itajaí , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b50ddabc041a6ad3cd36b9_Untitled%20design%20(59).png,6386291.0,3,3,168
7,Apartamento no condomínio Cidade Jardim em Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b4f1c48165e92dc2eefdeb_Untitled%20design%20(42).png,3000000.0,3,4,125
8,"Apartamento com 3 Suítes, 227 m² - Marina de Balneário Camboriú",Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b509c88d1f5a5819adeea1_Untitled%20design%20(47).png,5250000.0,3,4,227
9,"Apartamento quadra mar no condomínio Esquina Bella Residencial, bairro Pioneiros",Balneário Camboriú , SC,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b514e0fd674fe94927ae73_Untitled%20design%20(75).png,3600000.0,3,4,127
10,"Apartamento com 3 suítes no Centro de B. Camboriú, Edifício Merithamon",Centro de Balneário Camboriú,0,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62ad00305607223450769cd7__DSC4624.jpg,1700000.0,3,4,127
